type,M,loss_db_per_arm,spacing_d,n_vectors,input_gram_rank_tol_1e-12,input_gram_condition_pos,lambda_max_of_sum_effects,lambda_min_of_sum_effects,s,one_minus_s,projector_or_identity_residual_fro
raw_label_srm,4,0.0,5.701,16,16,1.0000005999645274,1.000000000000002,0.9999999999999971,0.999999999999998,1.9984014443252818e-15,5.196525034141388e-15
raw_label_srm,4,0.2,1.79761475765,16,16,6.873315033494662,1.0000000000000027,0.9999999999999963,0.9999999999999973,2.6645352591003757e-15,6.660380159285264e-15
raw_label_srm,4,0.9,1.69425311673,16,16,21.492604553557,1.0000000000000053,0.9999999999999952,0.9999999999999947,5.329070518200751e-15,1.095673424895295e-14
raw_label_srm,4,0.95,0.944402847058,16,16,11081.211198866118,1.0000000000007934,0.9999999999999251,0.9999999999992066,7.933653733971369e-13,8.032999559849893e-13
raw_label_srm,4,1.0,0.913642418276,16,16,17105.067002227628,1.000000000000103,0.9999999999982975,0.999999999999897,1.0302869668521453e-13,1.7057411280638653e-12
raw_label_srm,4,3.0,0.569040462781,16,16,64092282.209099844,1.000000000570418,0.9999999998603367,0.9999999994295821,5.704179351084804e-10,5.874002974300543e-10
raw_label_srm,4,10.0,0.424318825514,16,15,1827121215.5378366,1.0000000952501102,-2.020605904817785e-14,0.9999999047498989,9.52501011397544e-08,3.3816139232575593e-07
raw_label_srm,8,0.0,5.81520783736,64,64,1.0000004244012741,1.0000000000000164,0.9999999999999837,0.9999999999999836,1.6431300764452317e-14,3.4317066426245456e-14
raw_label_srm,8,0.2,1.72993228307,64,64,27.31158918806957,1.0000000000001987,0.9999999999998024,0.9999999999998013,1.9872992140790302e-13,2.8688813725159115e-13
raw_label_srm,8,0.9,1.83400133304,64,64,37.26305621142352,1.0000000000000164,0.9999999999999828,0.9999999999999836,1.6431300764452317e-14,4.8483324401759134e-14
raw_label_srm,8,0.95,1.88014032345,64,64,28.49819913143142,1.0000000000000364,0.9999999999999618,0.9999999999999636,3.6415315207705135e-14,7.22208610023745e-14
raw_label_srm,8,1.0,0.516813353217,64,61,1544999135572.0132,1.0000023469853407,-1.0429630523935489e-12,0.9999976530201676,2.346979832368312e-06,3.647702177880689e-06
raw_label_srm,8,3.0,0.307758992746,64,47,9692248447793.2,1.0000010208441203,-8.136948930125884e-13,0.9999989791569218,1.0208430781810662e-06,1.3817686207042864e-06
raw_label_srm,8,10.0,0.229991251943,64,30,4196904576717.3843,1.0000034964179925,-3.452089147504127e-12,0.9999965035942324,3.496405767577926e-06,1.0706405605772036e-05
raw_label_srm,16,0.0,5.55549470294,256,256,1.0000023029709644,1.0000000000000917,0.999999999999907,0.9999999999999083,9.170442183403793e-14,2.1494660497833587e-13
raw_label_srm,16,0.2,1.70254649392,256,256,394.1884205333849,1.0000000000002742,0.9999999999997339,0.9999999999997258,2.7422508708241367e-13,6.696145666510292e-13
raw_label_srm,16,0.9,1.96502469274,256,256,53.25277487297475,1.0000000000003588,0.9999999999996384,0.9999999999996412,3.588240815588506e-13,6.51913734857882e-13
raw_label_srm,16,0.95,0.416978567601,256,122,43566465854165.52,1.0000053312801516,-9.406125232392414e-12,0.9999946687482708,5.331251729190356e-06,8.021438574875428e-06
raw_label_srm,16,1.0,0.403780471387,256,118,25358004838199.363,1.0000062002430472,-8.960372640589241e-12,0.9999937997953956,6.200204604400739e-06,1.1824571202661141e-05
raw_label_srm,16,3.0,0.241534933338,256,69,47555297306486.63,1.0000007392186414,-2.821990743928176e-12,0.999999260781905,7.392180949583604e-07,1.4265942000065606e-06
raw_label_srm,16,10.0,0.178664482539,256,101,44679208157369.164,1.0000086356486089,-1.2414272688748352e-11,0.9999913644259649,8.63557403507631e-06,1.5614964804211532e-05
optimized_32_povm_A_dagger_A,4,0.25,1.7598008010405002,32,16,1.0000000000000033,1.0000000000000018,0.9999999999999984,0.9999999999999982,1.7763568394002505e-15,2.2448386698347015e-15
