M,loss_db_per_arm,end_to_end_loss_db_midpoint,optimized_spacing_d,povm_scale_s,one_minus_s,s_less_than_one
4,0.0,0.0,5.701,0.999999999999998,1.9984014443252818e-15,0
4,0.01,0.02,2.28478963881,0.9999999999999967,3.3306690738754696e-15,0
4,0.02,0.04,2.16355882519,0.9999999999999953,4.6629367034256575e-15,0
4,0.03,0.06,2.09390045208,0.9999999999999925,7.549516567451064e-15,0
4,0.04,0.08,2.04545635836,0.9999999999999967,3.3306690738754696e-15,0
4,0.05,0.1,2.00855742275,0.9999999999999964,3.552713678800501e-15,0
4,0.06,0.12,1.97889599103,0.9999999999999947,5.329070518200751e-15,0
4,0.07,0.14,1.9541895013,0.999999999999996,3.9968028886505635e-15,0
4,0.08,0.16,1.93308319509,0.9999999999999871,1.2878587085651816e-14,0
4,0.09,0.18,1.91470833195,0.9999999999999949,5.10702591327572e-15,0
4,0.1,0.2,1.89847528941,0.9999999999999962,3.774758283725532e-15,0
4,0.11,0.22,1.88396779444,0.9999999999999962,3.774758283725532e-15,0
4,0.12,0.24,1.87087825787,0.999999999999996,3.9968028886505635e-15,0
4,0.13,0.26,1.85897549335,0.9999999999999969,3.1086244689504383e-15,0
4,0.14,0.28,1.84807911296,0.9999999999999953,4.6629367034256575e-15,0
4,0.15,0.3,1.83805076565,0.9999999999999947,5.329070518200751e-15,0
4,0.16,0.32,1.82877499031,0.9999999999999953,4.6629367034256575e-15,0
4,0.17,0.34,1.82016250958,0.9999999999999931,6.8833827526759706e-15,0
4,0.18,0.36,1.81214032768,0.9999999999999465,5.3512749786932545e-14,0
4,0.19,0.38,1.80464863334,0.9999999999999691,3.086420008457935e-14,0
4,0.2,0.4,1.79761475765,0.9999999999999973,2.6645352591003757e-15,0
4,0.3,0.6,1.74534262081,0.9999999999999916,8.43769498715119e-15,0
4,0.4,0.8,1.71325272932,0.999999999999994,5.995204332975845e-15,0
4,0.5,1.0,1.69293134953,0.9999999999999944,5.551115123125783e-15,0
4,0.6,1.2,1.68105893156,0.9999999999999942,5.773159728050814e-15,0
4,0.7,1.4,1.67653634333,0.9999999999999896,1.0436096431476471e-14,0
4,0.75,1.5,1.67713541775,0.9999999999999953,4.6629367034256575e-15,0
4,0.76,1.52,1.67750859122,0.9999999999999933,6.661338147750939e-15,0
4,0.77,1.54,1.67797208061,0.9999999999999962,3.774758283725532e-15,0
4,0.78,1.56,1.678529028,0.9999999999999953,4.6629367034256575e-15,0
4,0.79,1.58,1.67918292811,0.999999999999996,3.9968028886505635e-15,0
4,0.8,1.6,1.67993766121,0.9999999999999953,4.6629367034256575e-15,0
4,0.81,1.62,1.68079753049,0.9999999999999947,5.329070518200751e-15,0
4,0.82,1.64,1.68176730452,0.9999999999999947,5.329070518200751e-15,0
4,0.83,1.66,1.6828522654,0.9999999999999969,3.1086244689504383e-15,0
4,0.84,1.68,1.68405826369,0.9999999999999958,4.218847493575595e-15,0
4,0.85,1.7,1.68539178107,0.9999999999999916,8.43769498715119e-15,0
4,0.86,1.72,1.68686009478,0.9999999999999978,2.220446049250313e-15,0
4,0.87,1.74,1.68847095925,0.999999999999994,5.995204332975845e-15,0
4,0.88,1.76,1.69023334588,0.9999999999999969,3.1086244689504383e-15,0
4,0.89,1.78,1.69215708552,0.9999999999999933,6.661338147750939e-15,0
4,0.9,1.8,1.69425311673,0.9999999999999947,5.329070518200751e-15,0
4,0.91,1.82,1.69653362702,0.9999999999999951,4.884981308350689e-15,0
4,0.92,1.84,1.69901289039,0.999999999999994,5.995204332975845e-15,0
4,0.93,1.86,0.958521813656,0.9999999999986782,1.3218315331187114e-12,0
4,0.94,1.88,0.951306228428,0.9999999999998936,1.0635936575909e-13,0
4,0.95,1.9,0.944402847058,0.9999999999992066,7.933653733971369e-13,0
4,0.96,1.92,0.937778797652,0.9999999999999587,4.1300296516055823e-14,0
4,0.97,1.94,0.931409764216,0.9999999999989249,1.0751399770470016e-12,0
4,0.98,1.96,0.925276316252,0.9999999999999627,3.730349362740526e-14,0
4,0.99,1.98,0.919359300933,0.9999999999980145,1.98552285723963e-12,0
4,1.0,2.0,0.913642418276,0.999999999999897,1.0302869668521453e-13,0
4,1.01,2.02,0.908111352034,0.9999999999998996,1.0036416142611415e-13,0
4,1.02,2.04,0.902753392532,0.9999999999991189,8.810729923425242e-13,0
4,1.03,2.06,0.897557125024,0.9999999999999154,8.459899447643693e-14,0
4,1.04,2.08,0.892512410115,0.9999999999999407,5.928590951498336e-14,0
4,1.05,2.1,0.887611524001,0.9999999999990787,9.212630658339549e-13,0
4,1.1,2.2,0.864960065106,0.9999999999998472,1.5276668818842154e-13,0
4,1.2,2.4,0.826813664758,0.999999999999615,3.850253449400043e-13,0
4,1.3,2.6,0.795350832089,0.9999999999993958,6.041833700010102e-13,0
4,1.4,2.8,0.768578046688,0.9999999999992808,7.192024753521764e-13,0
4,1.5,3.0,0.745310424725,0.9999999999987883,1.2116974090758958e-12,0
4,1.6,3.2,0.724781838105,0.9999999999975164,2.483568906086475e-12,0
4,1.7,3.4,0.706457019922,0.9999999999055182,9.448175575244022e-11,0
4,1.8,3.6,0.689952612054,0.9999999999980496,1.950439809661475e-12,0
4,1.9,3.8,0.674972755054,0.9999999999428306,5.716938034083796e-11,0
4,2.0,4.0,0.661297448897,0.9999999999647151,3.52848861240318e-11,0
4,2.5,5.0,0.607269974972,0.9999999999979672,2.0328183580886616e-12,0
4,3.0,6.0,0.569040462781,0.9999999994295821,5.704179351084804e-10,1
4,3.5,7.0,0.540487182903,0.9999999994629802,5.370197619924966e-10,1
4,4.0,8.0,0.518368225315,0.9999999457495808,5.4250419156964824e-08,1
4,4.5,9.0,0.500793082144,0.9999998304713141,1.6952868586717074e-07,1
4,5.0,10.0,0.486477032576,0.9999992823890389,7.176109610984582e-07,1
4,5.5,11.0,0.474666101098,0.9999999979413479,2.0586521376486644e-09,1
4,6.0,12.0,0.465039963008,0.9999999980083267,1.9916732707514484e-09,1
4,6.5,13.0,0.456827095044,0.9999999960003414,3.999658604314504e-09,1
4,7.0,14.0,0.4498475201,0.9999999877965168,1.2203483223949263e-08,1
4,7.5,15.0,0.44389871562,0.9999999902378497,9.762150310343998e-09,1
4,8.0,16.0,0.438802377775,0.9999999919606958,8.039304222329235e-09,1
4,8.5,17.0,0.434384997124,0.9999999733100133,2.6689986665218157e-08,1
4,9.0,18.0,0.43053366589,0.9999999289422031,7.105779686877867e-08,1
4,9.5,19.0,0.427270724715,0.9999999039658108,9.603418915649087e-08,1
4,10.0,20.0,0.424318825514,0.9999999047498989,9.52501011397544e-08,1
8,0.0,0.0,5.81520783736,0.9999999999999836,1.6431300764452317e-14,0
8,0.01,0.02,2.14422986805,0.9999999999999087,9.126033262418787e-14,0
8,0.02,0.04,2.03163526424,0.9999999999999793,2.0650148258027912e-14,0
8,0.03,0.06,1.96939598329,0.999999999999863,1.3700152123874432e-13,0
8,0.04,0.08,1.92725367401,0.9999999999999636,3.6415315207705135e-14,0
8,0.05,0.1,1.89582425359,0.9999999999998823,1.176836406102666e-13,0
8,0.06,0.12,1.87099171896,0.9999999999999394,6.061817714453355e-14,0
8,0.07,0.14,1.85061080486,0.9999999999999487,5.129230373768223e-14,0
8,0.08,0.16,1.83342251731,0.9999999999998375,1.6253665080512292e-13,0
8,0.09,0.18,1.81864019201,0.9999999999999367,6.328271240363392e-14,0
8,0.1,0.2,1.80573114978,0.9999999999999705,2.9531932455029164e-14,0
8,0.11,0.22,1.79432303126,0.9999999999999316,6.838973831690964e-14,0
8,0.12,0.24,1.78414358759,0.999999999999925,7.505107646466058e-14,0
8,0.13,0.26,1.7749934643,0.9999999999999818,1.8207657603852567e-14,0
8,0.14,0.28,1.76671440969,0.9999999999998554,1.4455103780619538e-13,0
8,0.15,0.3,1.7591817246,0.9999999999999729,2.708944180085382e-14,0
8,0.16,0.32,1.75230279261,0.9999999999999818,1.8207657603852567e-14,0
8,0.17,0.34,1.74599754212,0.999999999999978,2.19824158875781e-14,0
8,0.18,0.36,1.7402015835,0.9999999999999742,2.5757174171303632e-14,0
8,0.19,0.38,1.73486147812,0.9999999999999325,6.750155989720952e-14,0
8,0.2,0.4,1.72993228307,0.9999999999998013,1.9872992140790302e-13,0
8,0.3,0.6,1.69702981911,0.9999999999999805,1.9539925233402755e-14,0
8,0.4,0.8,1.6836349217,0.9999999999999516,4.8405723873656825e-14,0
8,0.5,1.0,1.68340949601,0.9999999999995266,4.733990977001667e-13,0
8,0.6,1.2,1.69483469772,0.9999999999999389,6.106226635438361e-14,0
8,0.7,1.4,1.71949387963,0.9999999999999498,5.0182080713057076e-14,0
8,0.75,1.5,1.73830112207,0.9999999999998868,1.1324274851176597e-13,0
8,0.76,1.52,1.74270997138,0.9999999999999736,2.6423307986078726e-14,0
8,0.77,1.54,1.74735938903,0.9999999999999827,1.7319479184152442e-14,0
8,0.78,1.56,1.75226038164,0.9999999999999558,4.418687638008123e-14,0
8,0.79,1.58,1.75742440186,0.9999999999999585,4.1522341120980855e-14,0
8,0.8,1.6,1.76286315144,0.9999999999999505,4.951594689828198e-14,0
8,0.81,1.62,1.76858682279,0.9999999999999882,1.176836406102666e-14,0
8,0.82,1.64,1.77460630771,0.9999999999999638,3.6193270602780103e-14,0
8,0.83,1.66,1.7809302726,0.999999999999982,1.7985612998927536e-14,0
8,0.84,1.68,1.78756390287,0.9999999999999281,7.194245199571014e-14,0
8,0.85,1.7,1.79451863509,0.999999999999676,3.239630785856207e-13,0
8,0.86,1.72,1.801791406,0.9999999999998166,1.8340884366807586e-13,0
8,0.87,1.74,1.80938297669,0.9999999999998785,1.2145839889399213e-13,0
8,0.88,1.76,1.81728859021,0.9999999999997431,2.569056078982612e-13,0
